** WARNING! Editing this file can cause it to become unusable with the MapCHECK software.

5.02.00.02
File Revision:	B
Measured File
Sun Nuclear Corporation
1177 MapCHECK 2

FileName:	2-Sep-2011-A.txt
Firmware Version:	10109
Hardware Revision:	D0
Diode Type:	0
Temperature:	21.667, 0, 0
Inclinometer Tilt:	0.000
Inclinometer Rotation:	0.000
Background Threshold:	60

Date:	09/02/11	Time:	13:33:57
Serial No:	6840311

Overrange Error:	0

Cal File:	6MVBoc.cal

Dose per Count:	0.0000000000
Dose Info:	None
Dose IDDC:	0

Time:	36999

Orientation:	0

Rows:	65
Cols:	53
CAX X:	27
CAX Y:	33

Background
Ycm	ROW	
16.0	65	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.840466419125790	0.000000000000000	3.014591883264934	0.000000000000000	2.377890691160185	0.000000000000000	1.601328903654485	0.000000000000000	2.266236727249039	0.000000000000000	2.179239137515471	0.000000000000000	3.089245000325711	0.000000000000000	1.893068855449156	0.000000000000000	2.632694938440492	0.000000000000000	2.305940981043580	0.000000000000000	2.387694612728812	0.000000000000000	1.948179271708683	0.000000000000000	1.948342127548694	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
15.5	64	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.193212168588365	0.000000000000000	2.061005797667904	0.000000000000000	3.153573057129829	0.000000000000000	2.283694873298157	0.000000000000000	1.665494104618592	0.000000000000000	2.379519249560289	0.000000000000000	1.989381799231321	0.000000000000000	2.956256921373201	0.000000000000000	1.994267474431633	0.000000000000000	1.644974268777278	0.000000000000000	2.934010813627776	0.000000000000000	1.984463552863006	0.000000000000000	2.075630252100841	0.000000000000000	1.724447918702365	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
15.0	63	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.188684776236076	0.000000000000000	2.150218226825614	0.000000000000000	2.439938766204156	0.000000000000000	2.037261416194385	0.000000000000000	2.408800729594163	0.000000000000000	1.712722298221614	0.000000000000000	2.417725229626734	0.000000000000000	2.260601915184679	0.000000000000000	2.444563872060452	0.000000000000000	1.672562048075044	0.000000000000000	2.073578268516709	0.000000000000000	1.903296202201811	0.000000000000000	2.041397954530650	0.000000000000000	2.372711875447854	0.000000000000000	2.372321021431829	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
14.5	62	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.780274900657937	0.000000000000000	2.358673702038955	0.000000000000000	1.806462119731614	0.000000000000000	2.246726597615790	0.000000000000000	2.408181877402124	0.000000000000000	1.436388508891929	0.000000000000000	2.808546674483747	0.000000000000000	1.828382515797016	0.000000000000000	2.607419712070875	0.000000000000000	2.252165982672139	0.000000000000000	1.558041821379715	0.000000000000000	2.677382580939352	0.000000000000000	2.737313530063188	0.000000000000000	2.021203830369357	0.000000000000000	1.716598267213862	0.000000000000000	2.153735912969839	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
14.0	61	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.453846654941046	0.000000000000000	1.715327991661781	0.000000000000000	1.912155559898378	0.000000000000000	2.096410657286170	0.000000000000000	2.861800534167155	0.000000000000000	1.502931405120188	0.000000000000000	2.525340368705622	0.000000000000000	1.754120252752264	0.000000000000000	1.874014722167937	0.000000000000000	2.147970816233470	0.000000000000000	1.704774933229106	0.000000000000000	1.504429678848284	0.000000000000000	2.835189889909452	0.000000000000000	2.003713113152238	0.000000000000000	2.544394501986841	0.000000000000000	2.262653898768810	0.000000000000000	2.046967624259006	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
13.5	60	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.076737671812911	0.000000000000000	2.098397498534297	0.000000000000000	2.528955768353853	0.000000000000000	1.243013484463553	0.000000000000000	1.211321737997525	0.000000000000000	2.801218161683278	0.000000000000000	1.501726271904110	0.000000000000000	2.207543482509283	0.000000000000000	1.886652335352746	0.000000000000000	1.582339912709270	0.000000000000000	2.981792717086835	0.000000000000000	1.672008338219009	0.000000000000000	2.190215621132174	0.000000000000000	1.945997003452544	0.000000000000000	2.932023972379650	0.000000000000000	2.267213862289102	0.000000000000000	1.666829522506677	0.000000000000000	1.880984952120383	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
13.0	59	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.144713699433262	0.000000000000000	2.026740928929712	0.000000000000000	2.037945410722429	0.000000000000000	2.287863982802423	0.000000000000000	1.963031724317634	0.000000000000000	2.431209693179597	0.000000000000000	1.816754608820272	0.000000000000000	1.583740472933359	0.000000000000000	1.741319783727445	0.000000000000000	1.661259852778321	0.000000000000000	2.229887303758713	0.000000000000000	1.961533450589538	0.000000000000000	2.852159468438538	0.000000000000000	2.185264803595857	0.000000000000000	2.477884176926584	0.000000000000000	3.223112500814279	0.000000000000000	2.666340954986646	0.000000000000000	1.647579962217445	0.000000000000000	2.439710768028141	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
12.5	58	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.178783141163442	0.000000000000000	2.537456843202397	0.000000000000000	2.425900592795258	0.000000000000000	2.183245391179728	0.000000000000000	1.481434434238812	0.000000000000000	1.490521790111393	0.000000000000000	2.322226565044622	0.000000000000000	1.999413718975962	0.000000000000000	2.769135561201225	0.000000000000000	2.179401993355482	0.000000000000000	2.204416650381082	0.000000000000000	2.468340824701974	0.000000000000000	1.654159338153866	0.000000000000000	3.150739365513648	0.000000000000000	2.238616376783272	0.000000000000000	2.404892189433913	0.000000000000000	2.054361279395479	0.000000000000000	1.517979284737151	0.000000000000000	1.634486352680607	0.000000000000000	1.539541397954531	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
12.0	57	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.783922871474171	0.000000000000000	2.587388443749593	0.000000000000000	2.263761318480881	0.000000000000000	1.322747703732656	0.000000000000000	2.455279786333138	0.000000000000000	1.973910494430330	0.000000000000000	1.774184092241548	0.000000000000000	0.945508435932513	0.000000000000000	2.208650902221354	0.000000000000000	2.167676372874731	0.000000000000000	1.547423620611035	0.000000000000000	2.343430395413979	0.000000000000000	1.596443228454172	0.000000000000000	2.010259917920657	0.000000000000000	2.095466093414110	0.000000000000000	2.164386684906521	0.000000000000000	1.851117191062472	0.000000000000000	2.333984756693375	0.000000000000000	2.075662823268842	0.000000000000000	2.126473845352094	0.000000000000000	2.660673571754283	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
11.5	56	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	2.537424272034395	0.000000000000000	1.562276073219986	0.000000000000000	2.143931991401212	0.000000000000000	1.922122337307016	0.000000000000000	1.940883330076216	0.000000000000000	1.294866783922872	0.000000000000000	1.792945085010748	0.000000000000000	1.620969317959742	0.000000000000000	1.920168067226891	0.000000000000000	2.220181095694091	0.000000000000000	2.046739626082991	0.000000000000000	3.440753045404208	0.000000000000000	2.342844114389942	0.000000000000000	1.899811087225588	0.000000000000000	2.303042147091395	0.000000000000000	1.867077063383493	0.000000000000000	2.034492866914208	0.000000000000000	1.956419777213211	0.000000000000000	1.934401667643802	0.000000000000000	2.112598527783206	0.000000000000000	2.672203765227021	0.000000000000000	2.192039606540291	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000
